序号,单词,翻译,美式音标,英式音标
26450,ultrasonic,"adj.超音速的,超声的n.超声波",[ˌʌltrəˈsɑnɪk],[ˌʌltrəˈsɒnɪk]
26451,ultrasonics,n.超音波学,[ˌʌltrəˈsɑnɪks],[ʌltrəˈsɒnɪks]
26452,ultrasound,n.超频率音响,[ˈʌltrəˌsaʊnd],[ˈʌltrəˌsaʊnd]
26453,ultrastructure,"n.[生]超微结构,亚显微结构",[ˈʌltrəˌstrʌktʃɚ],[ˈʌltrəˌstrʌktʃə]
26454,ultraviolet,"adj.紫外线的,紫外的n.紫外线辐射",[ˌʌltrəˈvaɪəlɪt],[ʌltrəˈvaɪələt]
26455,ululate,"vi.嚎,呜呜地叫,啼,哀鸣,悲泣",[ˈʌljʊlet],[ˈju:ljʊleɪt]
26456,ulyanovsk,乌里扬诺夫斯克[苏联伏尔加河中游城市](旧称辛比尔斯克),[ulˈjɑnəfsk],[u:ˈljɑ:nɒfsk]
26457,umbilical,"adj.脐带的,母系的",[ʌmˈbɪlɪkəl],[ʌmˈbɪlɪkəl]
26458,umbilicus,"n.[解][植]脐,中心",[ʌmˈbɪlɪkəs],[ʌmˈbɪlɪkəs]
26459,umbra,"n.[天]本影,暗影,蚀时的地球",[ˈʌmbrə],[ˈʌmbrə]
26460,umbrage,"n.树荫,不快",[ˈʌmbrɪdʒ],[ˈʌmbrɪdʒ]
26461,umbrella,"n.伞,雨伞,庇护",[ʌmˈbrɛlə],[ʌmˈbrelə]
26462,umpire,"n.仲裁人,裁判员v.仲裁,任裁判,作裁判",[ˈʌmˌpaɪɚ],[ˈʌmpaɪə]
26463,umpteen,adj.无数的,[ˌʌmpˈtin],[ˌʌmpˈti:n]
26464,umpteenth,adj.<口>第无数次(个)的,[ˌʌmpˈtinθ],[ˌʌmpˈti:nθ]
26465,un," pron.家伙,东西 United Nationals,联合国",[ˌjuˈen],[ˌju:ˈen]
26466,unabashed,adj.不害羞的,[ˌʌnəˈbæʃt],[ˌʌnəˈbæʃt]
26467,unabated,"adj.不衰退的,不减弱的",[ˌʌnəˈbetɪd],[ˌʌnəˈbeɪtɪd]
26468,unable,"adj.不能的,不会的",[ʌnˈebəl],[ʌnˈeɪbl]
26469,unabridged,"adj.未经删节的,完整的",[ˌʌnəˈbrɪdʒd],[ˌʌnəˈbrɪdʒd]
26470,unacceptable,"adj.无法接受的,不受欢迎的",[ˌʌnɪkˈsɛptəbəl],[ˈʌnəkˈseptəbl]
26471,unaccompanied,"adj.无伴侣的,无随从的,无伴奏的",[ˌʌnəˈkʌmpənɪd],[ˌʌnəˈkʌmpənɪd]
26472,unaccountable,"adj.无法解释的,无责任的",[ˌʌnəˈkaʊntəbəl],[ˌʌnəˈkaʊntəbl]
26473,unaccountably,"adv.不可解释地,不能说明地,无责任的",[ˌʌnəˈkaʊntəbli],[ˌʌnəˈkaʊntəblɪ]
26474,unaccustomed,"adj.不习惯的,不平常的,奇怪的",[ˌʌnəˈkʌstəmd],[ˈʌnəˈkʌstəmd]
26475,unacknowledged,"adj.不被承认的,未答复的",[ˌʌnəkˈnɑlɪdʒd],[ʌnəkˈnɒlɪdʒd]
26476,unadaptable,"adj.不能适应的,不能改编的",[ˌʌnəˈdæptəbəl],[ˈʌnəˈdæptəbl]
26477,unadorned,"adj.未装饰的,朴实的",[ˌʌnəˈdɔrnd],[ʌnəˈdɔ:nd]
26478,unaesthetic,"adj.无美感的,缺乏美感的",[ˈʌnesˈθetɪk],[ˈʌnesˈθetɪk]
26479,unaffected,"adj.不矫揉造作的,自然的,真挚的,未受影响的,未被感动的",[ˌʌnəˈfɛktɪd],[ˌʌnəˈfektɪd]
26480,unafraid,adj.不怕的,[ˌʌnəˈfred],[ˌʌnəˈfreɪd]
26481,unaided,"adj.未受协助的,独立的",[ʌnˈedɪd],[ˈʌnˈeɪdɪd]
26482,unalienable,adj.[律] =inalienable,[ʌnˈeljənəbəl],[ʌnˈeɪliənəbl]
26483,unalloyed,adj.纯粹的,[ʌnəˈlɔɪd],[ʌnəˈlɔɪd]
26484,unalterable,adj.不能变更的,[ʌnˈɔltərəbəl],[ʌnˈɔ:ltərəbl]
26485,unaltered,"adj.未被改变的,不变的,照旧的",[ʌnˈɔltɚd],ʌnˈɔ:ltəd]
26486,unambiguous,"adj.不含糊的,明确的",[ˌʌnæmˈbɪɡjuəs],[ˌʌnæmˈbɪɡjʊəs]
26487,unamiable,"adj.不和蔼的,不友好的",[ʌnˈemɪəbl],[ʌnˈeɪmɪəbl]
26488,unanimity,n.全体一致,[junəˈnɪmɪti],[ju:nəˈnɪmətɪ]
26489,unanimous,"adj.意见一致的,无异议的",[jʊˈnænəməs],[ju:ˈnænɪməs]
26490,unanimously,"全体一致地,无异议地",[jʊˈnænəməsli],[juˈnænɪməslɪ]
26491,unannounced,adj.未经宣布的,[ˌʌnəˈnaunst],[ˌʌnəˈnaʊnst]
26492,unanswered,"adj.未答复的,无反应的",[ʌnˈɑnsɚd],[ʌnˈɑ:nsəd]
26493,unappealing,"adj.无吸引力的,不能打动人的",[ˌunəˈpilɪŋ],[ˌʌnəˈpi:lɪŋ]
26494,unappreciated,adj.未被欣赏的,[ˌunəˈpriʃiˌetɪd],[ˌʌnəˈpri:ʃieɪtɪd]
26495,unapproachable,"adj.不能接近的,不可亲的,无可匹敌的",[ˌʌnəˈproʊtʃəbl],[ˌʌnəˈprəʊtʃəbl]
26496,unarm,vt.缴械vi.放下武器,[ʌnˈɑm],[ˈʌnˈɑ:m]
26497,unarmed,"adj.徒手的,非武装的",[ˌʌnˈɑrmd],[ˌʌnˈɑ:md]
26498,unartificial,"adj.非人工的,自然的",[ˈʌnˌɑrtɪˈfɪʃəl],[ˈʌnˌɑ:tɪˈfɪʃəl]
26499,unashamed,"adj.不害羞的,不知耻的,厚脸无耻的,问心无愧的",[ˌʌnəˈʃemd],[ʌnəˈʃeɪmd]
26500,unassailable,adj.攻不破的,[ˌʌnəˈseləbəl],[ˌʌnəˈseɪləbl]
26501,unassuming,"adj.谦逊的,不装腔作势的",[ˌʌnəˈsumɪŋ],[ˌʌnəˈsju:mɪŋ]
26502,unattached,adj.独立的,[ˌʌnəˈtætʃt],[ˌʌnəˈtætʃt]
26503,unattainable,"adj.难到达的,做不到的",[ˌʌnəˈtenəbəl],[ˌʌnəˈteɪnəbl]
26504,unattended,"adj.没人照顾的,未被注意的,无人出席的,(伤口等)未敷裹的,没有同伴的",[ˌʌnəˈtɛndɪd],[ˌʌnəˈtendɪd]
26505,unattractive,adj.不引人注意的,[ˌʌnəˈtræktɪv],[ˌʌnəˈtræktɪv]
26506,unauthorized,"adj.未被授权的,未经认可的",[ʌnˈɔ:θɚaɪzd],[ʌnˈɔ:θəraɪzd]
26507,unavailable,adj.难以获得的,[ˌʌnəˈveləbəl],[ʌnəˈveɪləb(ə)l]
26508,unavailing,adj.无效的,[ˌʌnəˈvelɪŋ],[ʌnəˈveɪlɪŋ]
26509,unavenged,"adj.未得报仇的,未得雪耻的",[ˌʌnəˈvɛndʒd],[ʌnəˈvendʒd]
26510,unavoidable,"adj.不能避免的,不可避免的,不能取消的",[ˌʌnəˈvɔɪdəbəl],[ˈʌnəˈvɒɪdəbl]
26511,unaware,"adj.不知道的,没觉察到的",[ˌʌnəˈwer],[ˌʌnəˈweə]
26512,unawares,"adv.不料,不知不觉地",[ˌʌnəˈwerz],[ˌʌnəˈweəz]
26513,unbalance,"v.使能避免的,使心情紊乱n.失去平衡,紊乱",[ʌnˈbæləns],[ˌʌnˈbæləns]
26514,unbalanced,"adj.不均衡的,错乱的,不稳定的,收支不平衡的",[ʌnˈbælənst],[ˌʌnˈbælənst]
26515,unbearable,"adj.无法忍受的,承受不住的",[ʌnˈberəbl],[ʌnˈbeərəbl]
26516,unbearably,"adv.不堪忍受地,忍不住地",[ʌnˈbɛərəbli],[ʌnˈbeərəblɪ]
26517,unbeatable,"adj.无敌的,无与伦比的",[ʌnˈbitəbəl],[ˈʌnˈbi:təbl]
26518,unbeaten,adj.未被打过的,[ʌnˈbitn],[ʌnˈbi:tn]
26519,unbecoming,adj.不合身的,[ˌʌnbɪˈkʌmɪŋ],[ʌnbɪˈkʌmɪŋ]
26520,unbelief,"n.疑惑,不信仰",[ˌʌnbɪˈlif],[ˌʌnbɪˈli:f]
26521,unbelievable,adj.难以置信的,[ˌʌnbɪˈlivəbəl],[ˈʌnbɪˈli:vəbl]
26522,unbelievably,"adv.难以置信地,不可信地",[ˌʌnbɪˈlivəbli],[ˌʌnbɪˈli:vəblɪ]
26523,unbelieving,"adj.不相信的,多疑的,不信宗教的",[ˌʌnbɪˈlivɪŋ],[ˌʌnbɪˈli:vɪŋ]
26524,unbend,v.不拘泥,[ʌnˈbɛnd],[ˌʌnˈbend]
26525,unbiased,adj.没有偏见的,[ʌnˈbaɪəst],[ˈʌnˈbaɪəst]
26526,unbidden,adj.未受邀请的,[ʌnˈbɪdn],[ʌnˈbɪdn]
26527,unblemished,adj.无疵的,[ʌnˈblɛmɪʃt],[ʌnˈblemɪʃt]
26528,unbolt,"vt.拔去门闩,打开",[ʌnˈbolt],[ʌnˈbəʊlt]
26529,unborn,adj.未来的,[ˌʌnˈbɔrn],[ˌʌnˈbɔ:n]
26530,unbosom,"v.吐露心事,剖明心迹",[ʌnˈbʊzəm],[ʌnˈbuzəm]
26531,unbounded,adj.极大的,[ʌnˈbaundɪd],[ʌnˈbaʊndɪd]
26532,unbrace,"vt.放松,使衰弱,解开...索带,松驰",[ˌʌnˈbres],[ˌʌnˈbreɪs]
26533,unbreakable,"adj.不能破损的,牢不可破的",[ʌnˈbrekəbəl],[ʌnˈbreɪkəbəl]
26534,unbridgeable,"adj.不能架桥的,不能逾越的",[ʌnˈbrɪdʒəbəl],[ˈʌnˈbrɪdʒəbl]
26535,unbridled,adj.放肆的,[ʌnˈbraɪdld],[ʌnˈbraɪdld]
26536,unbroken,"adj.未破损的,完整的,继续的",[ʌnˈbroʊkən],[ʌnˈbrəʊkən]
26537,unbuckle,vt.解开vi.解开扣子,[ˌʌnˈbʌkl],[ˌʌnˈbʌkl]
26538,unbuilt,adj.未建造的,[ʌnˈbɪlt],[ʌnˈbɪlt]
26539,unburden,"vt.卸货,卸下重担,表白,吐露",[ˌʌnˈbɚdn],[ˌʌnˈbɜ:dn]
26540,unbutton,vt.解开...的钮扣vi.解开钮扣,[ʌnˈbʌtn],[ʌnˈbʌtn]
26541,unbuttoned,"adj.解开钮扣的,无拘束的",[ʌnˈbʌtnd],[ˌʌnˈbʌtnd]
26542,uncannily,"adv.惊异地,危险地,神秘地",[ʌnˈkænɪli],[ʌnˈkænɪlɪ]
26543,uncanny,adj.离奇的,[ʌnˈkæni],[ʌnˈkænɪ]
26544,unceasing,"adj.不断的,不停的",[ʌnˈsisɪŋ],[ʌnˈsi:sɪŋ]
26545,uncensored,"adj.未经审查的,无保留的",[ʌnˈsensɚd],[ʌnˈsensəd]
26546,unceremonious,adj.随便的,[ˌʌnˌserəˈmoʊniəs],[ˌʌnˌserəˈməʊnɪəs]
26547,uncertain,"adj.无常的,不确定的,不可预测的,靠不住的",[ʌnˈsɚtn],[ʌnˈsɜ:tn]
26548,uncertainty,"n.无常,不确定,不可靠,半信半疑",[ʌnˈsɚtnti],[ʌnˈsɜ:tntɪ]
26549,unchallenged,"adj.未受到挑战的,未引起争论的,不成问题的",[ʌnˈtʃælɪndʒd],[ˈʌnˈtʃælɪndʒd]
26550,unchangeable,"adj.不变的,不能改变的",[ʌnˈtʃendʒəbəl],[ʌnˈtʃeɪndʒəbl]
26551,unchanged,"adj.无变化的,未改变的",[ʌnˈtʃendʒd],[ʌnˈtʃeɪndʒd]
26552,uncharitable,"adj.严厉的,无情的,不宽恕的",[ʌnˈtʃærɪtəbəl],[ʌnˈtʃærɪtəbl]
26553,uncharted,"adj.海图上未标明的,未知的,不详的",[ˌʌnˈtʃɑrtɪd],[ʌnˈtʃɑ:tɪd]
26554,unchecked,"adj.未受制止的,未经检查的,未加抑制的,未选中的",[ʌnˈtʃɛkt],[ˈʌnˈtʃekt]
26555,unchristian," 粗野的,非基督教的",[ʌnˈkrɪstʃən],[ˌʌnˈkrɪstʃən]
26556,uncivil,"adj.粗野的,不文明的,失礼的",[ʌnˈsɪvəl],[ˌʌnˈsɪvl]
26557,uncivilized,"adj.未开化的,不文明的,无文化的",[ʌnˈsɪvəˌlaɪzd],[ʌnˈsɪvəlaɪzd]
26558,uncle,"n.伯父,叔父,姨丈,援助者",[ˈʌŋkəl],[ˈʌŋkl]
26559,unclean,"adj.不洁的,含糊不清的",[ʌnˈklin],[ˌʌnˈkli:n]
26560,unclear,adj.不清楚的,[ˌʌnˈklɪɚ],[ˈʌnˈklɪə]
26561,unclog,"vt.使畅通,清除...的阻塞 扫除...的阻碍",[ʌnˈklɒg],[ˈʌnˈklɒg]
26562,unclutter,"vt.使整洁,整理",[ʌnˈklʌtə],[ʌnˈklʌtə(r)]
26563,uncombed,"adj.未梳理过的,蓬乱的",[ʌnˈkoʊmd],[ʌnˈkəʊmd]
26564,uncomfortable,"adj.不舒服的,不安的,不合意的",[ʌnˈkʌmfətəbəl],[ʌnˈkʌmfətəbl]
26565,uncomfortably,"adv.不舒适地,困难地",[ˌʌnˈkʌmfɚtəbli],[ʌnˈkʌmftəblɪ]
26566,uncommitted," 未被授权,未遂的",[ˌʌnkəˈmɪtɪd],[ʌnkəˈmɪtɪd]
26567,uncommon,"adj.不凡的,罕有的,难得的",[ʌnˈkɑmən],[ʌnˈkɒmən]
26568,uncommunicable,adj.=incommunicable,[ˌʌnkəˈmjunɪkəbl],[ʌnkəˈmju:nɪkəbl]
26569,uncommunicative,"adj.拘礼的,沉默寡言的",[ˌʌnkəˈmjunɪˌketɪv],[ʌnkəˈmju:nɪkətɪv]
26570,uncomplaining,"adj.没有怨言的,忍受痛苦的",[ˌʌnkəmˈplenɪŋ],[ˌʌnkəmˈpleɪnɪŋ]
26571,uncomprehending,"adj.不了解的,不谅解的",[ʌnˌkɑmprɪˈhendɪŋ],[ʌnˌkɒmprɪˈhendɪŋ]
26572,uncompromising," /adv.坚决地,/adj.不妥协的,不煌仔",[ʌnˈkɑmprəmaɪzɪŋ],[ʌnˈkɒmprəmaɪzɪŋ]
26573,unconcern,"n.漫不经心,冷淡,不关心",[ˌʌnkənˈsɚn],[ˌʌnkənˈsɜ:n]
26574,unconcerned,"adj.不关心的,无忧虑的,不相关的",[ˌʌnkənˈsɚnd],[ˈʌnkənˈsɜ:nd]
26575,unconditional,"adj.无条件的,绝对的,无限制的",[ˌʌnkənˈdɪʃənəl],[ˈʌnkənˈdɪʃənəl]
26576,unconditionally,adv.无条件地,[ˌʌnkənˈdɪʃənəli],[ˌʌnkənˈdɪʃənəlɪ]
26577,unconfirmed,"adj.未经认可的,未经证实的",[ˌʌnkənˈfɚmd],[ʌnkənˈfɜ:md]
26578,unconquerable,"adj.不可征服的,克服不了的,压制不了的",[ʌnˈkɑŋkərəbl],[ˌʌnˈkɒŋkərəbl]
26579,unconscionable,"adj.不合理的,不受良心节制的,过度的",[ʌnˈkɑnʃənəbl],[ʌnˈkɒnʃənəbl]
26580,unconscious,"adj.不省人事,未发觉的,无意识的",[ʌnˈkɑnʃəs],[ʌnˈkɒnʃəs]
26581,unconsciously,"adv.无意中,不知不觉",[ʌnˈkɑnʃəsli],[ʌnˈkɒnʃəslɪ]
26582,unconsolidated,"adj.松散的,疏松的,非层状的",[ˌʌnkənˈsɒlɪˌdetɪd],[ˈʌnkənˈsɒlɪdeɪtɪd]
26583,unconstitutional,adj.违反宪法的,[ˌʌnˌkɑnstəˈtuʃənl],[ˌʌnˌkɒnstɪˈtju:ʃənl]
26584,uncontested,"adj.没有人争的,无竞争的,无异议的",[ˌʌnkənˈtɛstɪd],[ˌʌnkənˈtestɪd]
26585,uncontrollable,adj.无法控制的,[ˌʌnkənˈtroʊləbl],[ʌnkənˈtrəʊləb(ə)l]
26586,uncontrolled,"adj.自由的,无拘束的,未受控制的",[ˌʌnkənˈtroʊld],[ˌʌnkənˈtrəʊld]
26587,unconventional," /n.非常规,异常ly//adv.不依惯例l/adj.非传统的",[ˌʌnkənˈvɛnʃənəl],[ˌʌnkənˈvenʃənəl]
26588,unconverted,"adj.不改的,不变化的,未信(宗)教的",[ˌʌnkənˈvɜtɪd],[ˈʌnkənˈvɜ:tɪd]
26589,unconvincing,adj.不足以令人相信的,[ˌʌnkənˈvɪnsɪŋ],[ˌʌnkənˈvɪnsɪŋ]
26590,uncooked,adj.未煮过的,[ʌnˈkukt],[ˌʌnˈkʊkt]
26591,uncorrupted,adj.未腐败的,[ˌʌnkəˈrʌptɪd],[ˌʌnkəˈrʌptɪd]
26592,uncouth,"adj.笨拙的,粗俗的,不舒适的",[ʌnˈkuθ],[ʌnˈku:θ]
26593,uncover,"vt.揭开,揭露v.揭示",[ʌnˈkʌvɚ],[ʌnˈkʌvə]
26594,uncovered,"adj.无盖的,未保险的",[ʌnˈkʌvɚd],[ʌnˈkʌvəd]
26595,uncrowded,"adj.不拥挤的,宽敞的",[ʌnˈkraʊdɪd],[ˌʌnˈkraʊdɪd]
26596,unction,"n.[宗]涂油礼,油膏,虚情假意,津津有味",[ˈʌŋkʃən],[ˈʌŋkʃn]
26597,unctuous,"adj.油似的,油质的,松软肥沃的",[ˈʌŋktʃuəs],[ˈʌŋktjʊəs]
26598,undaunted,"adj.大无畏的,勇敢的",[ʌnˈdɔntɪd],[ʌnˈdɔ:ntɪd]
26599,undeceive,"vt.使不受欺骗,使醒悟",[ˌʌndɪˈsiv],[ˌʌndɪˈsi:v]
26600,undecided,"adj.未定的,(天气等)不稳定的",[ˌʌndɪˈsaɪdɪd],[ˌʌndɪˈsaɪdɪd]
26601,undecipherable,adj.=indecipherable,[ˌʌndɪˈsaɪfərəbəl],[ˌʌndɪˈsaɪfərəbəl]
26602,undeclared,"adj.未申报的,未经宣战的",[ˌʌndɪˈklerd],[ˌʌndɪˈkleəd]
26603,undefined,"adj.不明确的,未下定义的",[ˌʌndɪˈfaɪnd],[ˌʌndɪˈfaɪnd]
26604,undemanding,"adj.容易的,要求不高的,不严格的",[ˌʌndɪˈmɑndɪŋ],[ʌndɪˈmɑ:ndɪŋ]
26605,undemonstrable,"adj.无法证明的,难以证明的",[ˌʌndɪˈmɒnstrəbəl],[ˌʌndɪˈmɒnstrəbl]
26606,undeniable,adj.不可否认的,[ˌʌndɪˈnaɪəbəl],[ˈʌndɪˈnaɪəbl]
26607,under," prep.在...之下,在...之内,在...领导下,低于,假借adv.在下",[ˈʌndɚ],[ˈʌndə]
26608,underachieve,"v.学习成绩不良,未能发挥学习潜能",[ˌʌndərəˈtʃiv],[ʌndərəˈtʃi:v]
26609,underage,"n.缺乏,久缺 adj.未成年的,未到法定年龄的",[ˈʌndɚedʒ],[ˈʌndəreɪdʒ]
26610,underbelly,"n.下腹部的,物体的下方,易受攻击的地带",[ˈʌndɚbɛli],[ˈʌndəbelɪ]
26611,underbid,"vt.出较低的价钱vi.叫价过低,叫牌过低",[ˌʌndɚˈbɪd],[ʌndəˈbɪd]
26612,underbrush,"n.树林下的草丛,丛林,下层林丛",[ˈʌndɚbrʌʃ],[ˈʌndəbrʌʃ]
26613,underbush,n.=underbrush,[ˈʌndɚbuʃ],[ˈʌndəbʊʃ]
26614,undercapitalize,v.(对...)投资不足,[ˌʌndɚˈkæpɪtəˌlaɪz],[ˌʌndəˈkæpɪtəlaɪz]
26615,undercharge,"vt.索价低于常价,未给...装足够的火药,充电不足n.低的索价,填不够量的火药,充电不足",[ˌʌndɚˈtʃɑrdʒ],[ʌndəˈtʃɑ:dʒ]
26616,underclass,"n.一、二年级学生,下层阶级",[ˈʌndɚklæs],[ˈʌndəˌklɑ:s]
26617,underclothes,"n.内衣,贴身衣",[ˈʌndɚkloʊðz],[ˈʌndəkləʊðz]
26618,underclothing,"n.内衣,贴身衣裤",[ˈʌndəkloʊðɪŋ],[ˈʌndəkləʊðɪŋ]
26619,undercooked,"adj.煮得欠熟的,煎(或烤、炸) 得火候不足的",[ˈʌndɚ kʊkt],[ˈʌndə kʊkt]
26620,undercover,"adj.秘密从事的,秘密的,被雇进行间谍活动的",[ˌʌndɚˈkʌvɚ],[ˌʌndəˈkʌvə]
26621,undercurrent,n.潜流,[ˈʌndɚkɜrənt],[ˈʌndəˌkʌrənt]
26622,undercut,"n.底切,牛腰部下侧嫩肉,砍口,削球vt.廉价出售,底切,雕出,从下边削球vi.底切",[ˌʌndɚˈkʌt],[ˈʌndəkʌt]
26623,underdevelop,"v.(使)发展不完全,(使)显影不足",[ʌndədɪˈveləp],[ʌndədɪˈveləp]
26624,underdeveloped,adj.不发达的,[ˌʌndɚdɪˈveləpt],[ʌndədɪˈveləpt]
26625,underdog,"n.失败者,受压迫者",[ˈʌndɚdɔg],[ˈʌndədɒɡ]
26626,underdone,"adj.半生不熟的,煮得嫩的 vbl.underdo之过去分词",[ˌʌndɚˈdʌn],[ˌʌndəˈdʌn]
26627,underemphasize,"v.对...强调不够,对...重视不够",[ˈʌndɚˈɛmfəsaɪz],[ˈʌndə(r)ˈemfəsaɪz]
26628,underemployed,"adj.未充分就业的,学非所用的n.大材小用的人",[ˌʌndəɛmˈplɔɪd],[ʌndərɪmˈplɒɪd]
26629,underemployment,n.不充分就业,[ʌndɚˌɪmˈplɔɪmənt],[ʌndərˌɪmˈplɔɪmənt]
26630,underestimate,"vt.低估,看轻n.低估",[ˌʌndɚˈɛstəmet],[ˌʌndərˈestɪmeɪt]
26631,underestimation,n.低估,[ˌʌndɚˌestɪˈmeʃn],[ˌʌndərˌestɪˈmeɪʃn]
26632,underexposure,n.[摄]曝光不足,[ˈʌndərɪkˈspoʊʒə],[ˈʌndərɪksˈpəʊʒə]
26633,underfed,"adj.营养不良的,吃得不饱的",[ˌʌndɚˈfed],[ˌʌndəˈfed]
26634,underfoot,"adv.在脚下面,碍事",[ˌʌndɚˈfʊt],[ˌʌndəˈfʊt]
26635,underfund,vt.对...提供资金不足,[ˌʌndəˈfʌnd],[ˌʌndəˈfʌnd]
26636,undergarment,"n.内衣,贴身衣",[ˈʌndɚgɑrmənt],[ˈʌndəgɑ:mənt]
26637,undergird,"v.加强,巩固...的底部",[ˌʌndɚˈɡɚd],[ˈʌndəˈɡɜ:d]
26638,undergo,"vt.经历,遭受,忍受",[ˌʌndɚˈgoʊ],[ˌʌndəˈɡəʊ]
26639,undergraduate,"n.大学肄业生,(尚未取得学位的)大学生adj.大学生的",[ˌʌndɚˈgrædʒuət],[ˌʌndəˈɡrædjuɪt]
26640,underground,"adj.地下的,地面下的,秘密的n.[英] 地铁adv.在地下,秘密地",[ˈʌndɚgraʊnd],[ˈʌndəɡraʊnd]
26641,undergrowth,"n.下层丛林,生于大树下的矮树,发育不全",[ˈʌndɚgroʊθ],[ˈʌndəɡrəʊθ]
26642,underhand,"adj.秘密的,下投的,欺瞒的adv.秘密地,阴险地,(打球时)手不过肩地",[ˌʌndɚˈhænd],[ˈʌndəhænd]
26643,underhanded,adj.秘密的,[ˌʌndəˈhændɪd],[ʌndəˈhændɪd]
26644,underinsured,adj.保险(额)不足的,[ˌʌndərɪnˈʃʊrd],[ˌʌndərɪnˈʃʊəd]
26645,underlayer,"n.下层,底层,衬层",[ˈʌndəˌleə],[ˈʌndəˌleɪə]
26646,underlie,"vt.位于...之下,成为...的基础",[ˌʌndɚˈlai],[ˌʌndəˈlaɪ]
26647,underline,"vt.在...下面划线,作...的衬里,加下划线,强调n.下划线",[ˌʌndɚˈlaɪn],[ˌʌndəˈlaɪn]
26648,underling,"n.部下,下僚,下属,走卒",[ˈʌndɚlɪŋ],[ˈʌndəlɪŋ]
26649,underlining,vbl.在.下面划线,[ˈʌndəˌlaɪnɪŋ],[ʌndəˈlaɪnɪŋ]
26650,underlying,"adj.在下面的,根本的,潜在的,[商]优先的",[ˌʌndɚˈlaɪɪŋ],[ˈʌndəˈlaɪɪŋ]
26651,undermine,v.破坏,[ˌʌndɚˈmaɪn],[ˌʌndəˈmaɪn]
26652,underneath,adv.在下面 prep.在...的下面,[ˌʌndɚˈniθ],[ˌʌndəˈni:θ]
26653,undernourished,"adj.营养不良的,半饱状态的",[ˌʌndɚˈnɜrɪʃt],[ˌʌndəˈnʌrɪʃt]
26654,undernutrition,n.营养不良,[ˌʌndənjʊˈtrɪʃən],[ˌʌndənju:ˈtrɪʃən]
26655,underpaid,vbl.underpay过去式及过去分词adj.所得报酬过低的,[ˌʌndɚˈped],[ˌʌndəˈpeɪd]
26656,underpants,内衣裤,[ˈʌndɚpænts],[ˈʌndəpænts]
26657,underpass,"n.地下道,高架桥下通道",[ˈʌndɚpæs],[ˈʌndəpɑ:s]
26658,underpayment,"n.不足工资,缴付不足",[ˈʌndɚˈpemənt],[ˈʌndəˈpeɪmənt]
26659,underperform,"vi.表现不佳,工作不如预期(或同行)vt.(股票等)运作差于(一般市场价格)",[ˌʌndɚpɚˈfɔrm],[ˌʌndəpəˈfɔ:m]
26660,underpin,"v.加强...的基础,巩固,支撑",[ˌʌndɚˈpɪn],[ˌʌndəˈpɪn]
26661,underpinning,"n.基础,支柱,支撑",[ˈʌndɚˌpɪnɪŋ],[ˈʌndəˌpiniŋ]
26662,underplay,"vt.使没有充分发挥作用,扣着大牌不出而出小牌,表演有克制,对...轻描淡写,表演不充分vi.表演角色不充分n.秘密行动,不充分的表演",[ˌʌndɚˈple],[ʌndəˈpleɪ]
26663,underprepared,"adj.准备不足的,准备不充分的",[ˌʌndɚprɪˈperd],[ˌʌndəprɪˈpeəd]
26664,underprivilege,QndE5prIvIlIdV/n.相对贫困 生活d/adj.被剥夺基本水平低下,[ˈʌndəˌprivilidʒ],[ˈʌndəˌprivilidʒ]
26665,underrate,"vt.低估,看轻",[ˌʌndɚˈret],[ˌʌndəˈreɪt]
26666,underscore,"vt.划线于...下,强调n.底线",[ˌʌndɚˈskɔ(r)],[ˌʌndəˈskɔ:]
26667,undersea,adj.海面下的,[ˈʌndɚsi],[ˈʌndəsi:]
26668,undersecretary,"n.次长,副部长",[ˌʌndɚˈsɛkrətɛri],[ˌʌndəˈsekrətrɪ]
26669,undersell,"vt.以低于市价售出,抛售",[ˌʌndɚˈsel],[ʌndəˈsel]
26670,underserved,"adj.服务不周到的,服务水平低下的",[ʌndɚˈsɚvd],[ʌndəˈsɜ:vd]
26671,undershirt,n.汗衫,[ˈʌndɚʃɚt],[ˈʌndəʃɜ:t]
26672,underside,"n.下面,内面,下腹,下侧",[ˈʌndɚsaɪd],[ˈʌndəsaɪd]
26673,undersigned,adj.下面签名的,[ˌʌndɚˈsaɪnd],[ˌʌndəˈsaɪnd]
26674,undersize,"adj.较一般为小的,不够大的",[ˈʌndəˈsaɪz],[ˈʌndəsaɪz]
26675,undersized,"adj.较一般为小的,不够大的",[ˌʌndɚˈsaɪzd],[ˌʌndəˈsaɪzd]
26676,understaffed,"adj.人员不足的,人手不足的",[ˌʌndɚˈstæft],[ˌʌndəˈstɑ:ft]
26677,understand,"v.懂,了解,听说,推定,以为,省略",[ˌʌndɚˈstænd],[ʌndəˈstænd]
26678,understandable,"adj.可以理解的,可懂的",[ˌʌndɚˈstændəbl],[ˌʌndəˈstændəbl]
26679,understandably,adv.可理解地,[ˌʌndɚˈstændəbli],[ˌʌndəˈstændəblɪ]
26680,understanding,"n.谅解,理解",[ˌʌndɚˈstændɪŋ],[ˌʌndəˈstændɪŋ]
26681,understandingly,"adv.领悟地,有理解力地,宽容地",[ˌʌndɚˈstændɪŋi],[ˌʌndəˈstændɪŋlɪ]
26682,understate,"v.打着折扣说,保守地说,有意轻描淡写",[ˌʌndɚˈstet],[ˌʌndəˈsteɪt]
